CODIGO_CIUDAD|NOMBRE_CIUDAD|CODIGO_DEPARTAMENTO|NOMBRE_DEPTO
1 |SIN INFORMACIÓN|01|SIN INFORMACION
2 |CIUDAD DEL EXTERIOR|99|VICHADA
5001000 |MEDELLIN|05|ANTIOQUIA
5001001 |PALMITAS|05|ANTIOQUIA
5001002 |SAN ANTONIO DE PRADO|05|ANTIOQUIA
5001003 |SAN CRISTOBAL SAN CRISTOBAL|05|ANTIOQUIA
5001004 |SANTA ELENA|05|ANTIOQUIA
5001005 |PEDREGAL|05|ANTIOQUIA
5001007 |SAN JAVIER|05|ANTIOQUIA
5001010 |AGUAS FRIAS|05|ANTIOQUIA
5001011 |CORAZON|05|ANTIOQUIA
5002000 |ABEJORRAL|05|ANTIOQUIA
5002001 |CHAGUALAL|05|ANTIOQUIA
5002002 |PANTANILLO (ABEJORRAL)|05|ANTIOQUIA
5002003 |PURIMA|05|ANTIOQUIA
5002004 |NARANJAL|05|ANTIOQUIA
5002005 |GUAYABAL|05|ANTIOQUIA
5002006 |PURNIA|05|ANTIOQUIA
5002007 |PORTUGAL|05|ANTIOQUIA
5002010 |EL CAIRO (ABEJORRAL)|05|ANTIOQUIA
5002011 |EL ERIZO|05|ANTIOQUIA
5002012 |GUAICO GIBADO|05|ANTIOQUIA
5004000 |ABRIAQUI|05|ANTIOQUIA
5004001 |CORCOVADO|05|ANTIOQUIA
5004002 |LA ANTIGUA|05|ANTIOQUIA
5008000 |SANTA FE DE ANTIOQUI|05|ANTIOQUIA
5009000 |SAN CRISTOBAL|05|ANTIOQUIA
5010000 |BUENOS AIRES - MEDEL|05|ANTIOQUIA
5021000 |ALEJANDRIA|05|ANTIOQUIA
5021001 |SAN JOSE (ALEJANDRIA|05|ANTIOQUIA
5030000 |AMAGA|05|ANTIOQUIA
5030001 |CAMILOCE RESTREPO|05|ANTIOQUIA
5030002 |EL CEDRO|05|ANTIOQUIA
5030003 |LA CLARITA|05|ANTIOQUIA
5030004 |LA FERREIRA|05|ANTIOQUIA
5030005 |LA GUALI|05|ANTIOQUIA
5030006 |PIEDECUESTA|05|ANTIOQUIA
5030007 |LOS ALVAREZ|05|ANTIOQUIA
5030008 |DOS PEÑAS|05|ANTIOQUIA
5030009 |MANI DE LOS MANGOS|05|ANTIOQUIA
5030010 |NICANOR RESTREPO|05|ANTIOQUIA
5031000 |AMALFI|05|ANTIOQUIA
5031004 |PORTACHUELO|05|ANTIOQUIA
5031005 |ARENAS BLANCAS|05|ANTIOQUIA
5031006 |EL ZACATIN|05|ANTIOQUIA
5031007 |LA GUAYANA|05|ANTIOQUIA
5031008 |BARRIO OBRERO|05|ANTIOQUIA
5031009 |EL TIGRE - AMALFI|05|ANTIOQUIA
5031010 |LA CANCANA|05|ANTIOQUIA
5034000 |ANDES|05|ANTIOQUIA
5034001 |BUENOS AIRES - ANDES|05|ANTIOQUIA
5034003 |SAN JOSE (ANDES)|05|ANTIOQUIA
5034004 |SAN PEDRO|05|ANTIOQUIA
5034005 |SANTA BARBARA (ANDES|05|ANTIOQUIA
5034006 |SANTA RITA (ANDES)|05|ANTIOQUIA
5034007 |TAPARTO|05|ANTIOQUIA
5034008 |LA CEDRONA|05|ANTIOQUIA
5034009 |QUEBRADA ARRIBA|05|ANTIOQUIA
5034010 |LA SOLEDAD|05|ANTIOQUIA
5034011 |VALLE UMBRIA|05|ANTIOQUIA
5034012 |SANTA INES|05|ANTIOQUIA
5036000 |ANGELOPOLIS|05|ANTIOQUIA
5036001 |ESTACION ANGELOPOLIS|05|ANTIOQUIA
5036003 |SANTA ANA (ANGELOPOL|05|ANTIOQUIA
5036004 |SAN ISIDRO|05|ANTIOQUIA
5036005 |EL NUDILLO|05|ANTIOQUIA
5036006 |SANTA RITA (ANGELOPO|05|ANTIOQUIA
5036007 |LA CLARA|05|ANTIOQUIA
5038000 |ANGOSTURA|05|ANTIOQUIA
5038001 |EL CARMELO|05|ANTIOQUIA
5038002 |LA QUINTA|05|ANTIOQUIA
5038003 |PAJARITO ARRIBA|05|ANTIOQUIA
5038004 |EL SOCORRO - ANGOSTU|05|ANTIOQUIA
5038005 |PAJARITO ABAJO|05|ANTIOQUIA
5038006 |CANOAS - ANGOSTURA|05|ANTIOQUIA
5038007 |LA MONTAÑITA|05|ANTIOQUIA
5040000 |ANORI|05|ANTIOQUIA
5040002 |LIBERIA|05|ANTIOQUIA
5040003 |MONTEFRIO|05|ANTIOQUIA
5040004 |SANTO DOMINGO (ANORI|05|ANTIOQUIA
5040005 |CRISTALINAS|05|ANTIOQUIA
5040006 |LAS NIEVES|05|ANTIOQUIA
5040007 |MADRE SECA|05|ANTIOQUIA
5042000 |SANTAFE DE ANTIOQUIA|05|ANTIOQUIA
5042001 |CATIVO|05|ANTIOQUIA
5042002 |GUASABRA|05|ANTIOQUIA
5042003 |LAS AZULES|05|ANTIOQUIA
5042004 |TONUSCO ARRIBA|05|ANTIOQUIA
5042005 |LLANO DE BRISAS|05|ANTIOQUIA
5042006 |EL PESCADO|05|ANTIOQUIA
5042007 |SABANAS|05|ANTIOQUIA
5044000 |ANZA|05|ANTIOQUIA
5044001 |GUINTAR|05|ANTIOQUIA
5044002 |LA CHOLINA|05|ANTIOQUIA
5044003 |LOS LLANOS|05|ANTIOQUIA
5044004 |LA CUEVA|05|ANTIOQUIA
5044005 |LA CEJITA|05|ANTIOQUIA
5044006 |LA HIGUINA|05|ANTIOQUIA
5045000 |APARTADO|05|ANTIOQUIA
